location,mylocation
"УБ — Баянгол, Тээврийн товчоо",Тээврийн товчоо
"УБ — Баянгол, УБ палас",25-р эмийн сан
"УБ — Баянгол, Ханбүргэдэй",Төмөр зам
"УБ — Баянгол, Хорооллын Имарт","3, 4 хороолол"
"УБ — Баянгол, Хос-Өргөө",Алтай хотхон
"УБ — Баянгол, Эх нялхас эмнэлэг",Эх нялхас
УБ — Баянзүрх,Баянзүрх
"УБ — Баянзүрх, 13-р хороолол",13-р хороолол
"УБ — Баянзүрх, 14-р хороолол",Халдварт
"УБ — Баянзүрх, 14-р хороолол",Халдварт
"УБ — Баянзүрх, 15-р хороолол",Жуков
"УБ — Баянзүрх, 16-р хороолол",Цайз
"УБ — Баянзүрх, 1-р төрөх",Цайз
"УБ — Баянзүрх, 2-р эмнэлэг",13-р хороолол
"УБ — Баянзүрх, 33-р сургуулийн ойролцоо",13-р хороолол
"УБ — Баянзүрх, 84-р сургуулийн ойролцоо",13-р хороолол
"УБ — Баянзүрх, Edu apart campus",Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Olympic village",Олимп хотхон
"УБ — Баянзүрх, Sunrise",Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Алдар Спорт хороо",Офицер
"УБ — Баянзүрх, Амгалан",Амгалан
"УБ — Баянзүрх, Амгалан амаржих газар",Амгалан
"УБ — Баянзүрх, Арцат",Цайз
"УБ — Баянзүрх, Баатархайрхан",Баянзүрх
"УБ — Баянзүрх, Бага дарь-Эх",Дарь эх
"УБ — Баянзүрх, Баялаг-Ундраа",Нарантуул
"УБ — Баянзүрх, Баянзүрх дүүрэг",Баянзүрх
"УБ — Баянзүрх, Баянзүрх, Хороо 1",СЭЗИС
"УБ — Баянзүрх, Баянзүрх, Хороо 10",Амгалан
"УБ — Баянзүрх, Баянзүрх, Хороо 11",Бага тэнгэр
"УБ — Баянзүрх, Баянзүрх, Хороо 12",Ботаник
"УБ — Баянзүрх, Баянзүрх, Хороо 13",БЗД
"УБ — Баянзүрх, Баянзүрх, Хороо 14",Өгөөмөр
"УБ — Баянзүрх, Баянзүрх, Хороо 15",Кино үйлдвэр
"УБ — Баянзүрх, Баянзүрх, Хороо 16",Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 17",Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 18",Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 19",Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 2",КТМС
"УБ — Баянзүрх, Баянзүрх, Хороо 20",Кино үйлдвэр
"УБ — Баянзүрх, Баянзүрх, Хороо 21",Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 22",Кино үйлдвэр
"УБ — Баянзүрх, Баянзүрх, Хороо 23",Офицер
"УБ — Баянзүрх, Баянзүрх, Хороо 24",Шар хад
"УБ — Баянзүрх, Баянзүрх, Хороо 25",Натур
"УБ — Баянзүрх, Баянзүрх, Хороо 26",Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Баянзүрх, Хороо 27",Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Баянзүрх, Хороо 28",Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 29",Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 3",Сансар
"УБ — Баянзүрх, Баянзүрх, Хороо 30",КТМС
"УБ — Баянзүрх, Баянзүрх, Хороо 31",Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 32",Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 34",Шархад
"УБ — Баянзүрх, Баянзүрх, Хороо 36",Баянмонгол
"УБ — Баянзүрх, Баянзүрх, Хороо 37",Чулуун овоо
"УБ — Баянзүрх, Баянзүрх, Хороо 38",Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 39",Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 4",Жуков
"УБ — Баянзүрх, Баянзүрх, Хороо 40",Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 41",Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 42",Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 43",Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 5",Жуков
"УБ — Баянзүрх, Баянзүрх, Хороо 6",Бөхийн өргөө
"УБ — Баянзүрх, Баянзүрх, Хороо 7",КТМС
"УБ — Баянзүрх, Баянзүрх, Хороо 8",Амгалан
"УБ — Баянзүрх, Баянзүрх, Хороо 8",Амгалан
"УБ — Баянзүрх, Баянзүрх, Хороо 9",Улаанхуаран
"УБ — Баянзүрх, Баянмонгол хороолол",Баянмонгол
"УБ — Баянзүрх, Ботаник",Ботаник
"УБ — Баянзүрх, Бөхийн Өргөө",Бөхийн өргөө
"УБ — Баянзүрх, Гачуурт",Гачуурт
"УБ — Баянзүрх, Зүүн 4 зам",Зүүн 4 зам
"УБ — Баянзүрх, Их Засаг Их сургууль",Цайз
"УБ — Баянзүрх, Их Монгол хороолол",Их монгол
"УБ — Баянзүрх, КТМС",КТМС
"УБ — Баянзүрх, Монгол Япон эмнэлэг",Амгалан
"УБ — Баянзүрх, Нарантуул зах",Нарантуул
"УБ — Баянзүрх, Натур худалдааны төв",13-р хороолол
"УБ — Баянзүрх, Нохойтой хөшөө",Чулуун овоо
"УБ — Баянзүрх, Олимп хотхон",Олимп хотхон
"УБ — Баянзүрх, Офицер",Офицер
"УБ — Баянзүрх, Өгөөмөр захын зүүн",Өгөөмөр
"УБ — Баянзүрх, РЦНК",Сансар
"УБ — Баянзүрх, Сандэй плаза",Нарантуул
"УБ — Баянзүрх, Сансар",Сансар
"УБ — Баянзүрх, Туул-БЗД",Туул зөрлөг
"УБ — Баянзүрх, Улаанбаатар их сургууль",Нарантуул
"УБ — Баянзүрх, Улаанхуаран",Офицер
"УБ — Баянзүрх, Улиастай",Улиастай
"УБ — Баянзүрх, Ургах наран",Ургахнаран
"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Хавдар судлалын үндэсний төв",Нарантуул
"УБ — Баянзүрх, Халдвартын эмнэлэг",Нарантуул
"УБ — Баянзүрх, Хонхор",Хонхор зөрлөг
"УБ — Баянзүрх, Цайз",Цайз
"УБ — Баянзүрх, Цэргийн хотхон",Сансар
"УБ — Баянзүрх, Чингис зочид буудал",Сансар
"УБ — Баянзүрх, Чулуун овоо",Чулуун овоо
"УБ — Баянзүрх, Чухаг хороолол",Дүнжингарав
"УБ — Баянзүрх, Шар хад",Шар хад
"УБ — Баянзүрх, Шинэ Монгол сургуулийн ойролцоо",13-р хороолол
"УБ — Баянзүрх, Элчин сайдын гудамж",Сансар
"УБ — Баянзүрх, Эрдэнэ толгой",Эрдэнэ толгой
УБ — Налайх,Налайх
"УБ — Налайх, Налайх, Хороо 1",Налайх
"УБ — Налайх, Налайх, Хороо 2",Налайх
"УБ — Налайх, Налайх, Хороо 3",Налайх
"УБ — Налайх, Налайх, Хороо 5",Налайх
"УБ — Налайх, Налайх, Хороо 6",Налайх
"УБ — Налайх, Налайх, Хороо 7",Налайх
УБ — Сонгинохайрхан,Сонгинохайрхан
"УБ — Сонгинохайрхан, 1-р хороолол",1-р хороолол
"УБ — Сонгинохайрхан, 21-р хороолол",21-р хороолол
"УБ — Сонгинохайрхан, 5 шар",5 шар
"УБ — Сонгинохайрхан, Баруун салаа",Баянхошуу
"УБ — Сонгинохайрхан, Баянхошуу",Баянхошуу
"УБ — Сонгинохайрхан, Зүүн салаа",Баянхошуу
"УБ — Сонгинохайрхан, Их наран",Их наран
"УБ — Сонгинохайрхан, Москва хороолол",Москва
"УБ — Сонгинохайрхан, Найрамдал",Найрамдал
"УБ — Сонгинохайрхан, Орбит",Орбит
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 1",Толгойт
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 10",Толгойт
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 12",1-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 13",1-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 14",1-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 15",1-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 16",10-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 17",1-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 18",5 шар
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 19",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 2",Толгойт
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 20",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 21",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 22",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 23",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 26",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 27",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 27",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 28",Баянхошуу
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 29",Москва
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 3",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 30",1-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 31",1-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 32",Москва
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 34",Найрамдал
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 37",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 38",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 4",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 42",Шаргаморьт
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 5",21-р хороолол
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 6",Баянхошуу
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 7",Баянхошуу
"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 8",5 шар
"УБ — Сонгинохайрхан, Сонсголон",Сонсголон
"УБ — Сонгинохайрхан, Толгойт",Толгойт
"УБ — Сонгинохайрхан, Ханын материал",Ханын материал
УБ — Сүхбаатар,Сүхбаатар
"УБ — Сүхбаатар, 100 айл",100 айл
"УБ — Сүхбаатар, 11-р хороолол",11-р хороолол
"УБ — Сүхбаатар, 220 мянгат",220 мянгат
"УБ — Сүхбаатар, 2-р сургууль",11-р хороолол
"УБ — Сүхбаатар, 5-р хороолол",Цирк
"УБ — Сүхбаатар, 64-р дэлгүүр",Сансар
"УБ — Сүхбаатар, 6-р сургуулийн ойролцоо",Хүүхдийн 100
"УБ — Сүхбаатар, 7-р хороолол",Сансар
"УБ — Сүхбаатар, Америкын элчин сайдын яам",Сансар
"УБ — Сүхбаатар, Бага тойрог",Бага тойрог
"УБ — Сүхбаатар, Баянгол зочид буудал",Талбай
"УБ — Сүхбаатар, Бэлх",Бэлх
"УБ — Сүхбаатар, Дарь Эх",Дарь эх
"УБ — Сүхбаатар, Дөлгөөн нуур",Дөлгөөн нуур
"УБ — Сүхбаатар, Их тойруу",Дөлгөөн нуур
"УБ — Сүхбаатар, Метро Молл",Дөлгөөн нуур
"УБ — Сүхбаатар, Монгол Улсын Их Сургууль",МУИС
"УБ — Сүхбаатар, МУБИС",Талбай
"УБ — Сүхбаатар, Найман шарга",Бөмбөгөр
"УБ — Сүхбаатар, Орос 3-р сургуулийн ойролцоо",Цирк
"УБ — Сүхбаатар, Өгөөж чихэр боов",Баруун 4 зам
"УБ — Сүхбаатар, Сант сургуулийн ойролцоо",Цирк
"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Талбай
"УБ — Сүхбаатар, Сүхбаатар, Хороо 10",100 айл
"УБ — Сүхбаатар, Сүхбаатар, Хороо 11",Дөлгөөн нуур
"УБ — Сүхбаатар, Сүхбаатар, Хороо 12",100 айл
"УБ — Сүхбаатар, Сүхбаатар, Хороо 13",7 буудал
"УБ — Сүхбаатар, Сүхбаатар, Хороо 14",Дөлгөөн нуур
"УБ — Сүхбаатар, Сүхбаатар, Хороо 15",Дөлгөөн нуур
"УБ — Сүхбаатар, Сүхбаатар, Хороо 16",Хүнсний 4
"УБ — Сүхбаатар, Сүхбаатар, Хороо 17",7 буудал
"УБ — Сүхбаатар, Сүхбаатар, Хороо 18",Их дэлгүүр
"УБ — Сүхбаатар, Сүхбаатар, Хороо 19",Дамбадаржаа
"УБ — Сүхбаатар, Сүхбаатар, Хороо 2",Талбай
"УБ — Сүхбаатар, Сүхбаатар, Хороо 20",Цэнгэлдэх
"УБ — Сүхбаатар, Сүхбаатар, Хороо 3",Орос 3
"УБ — Сүхбаатар, Сүхбаатар, Хороо 4",Нарны хороолол
"УБ — Сүхбаатар, Сүхбаатар, Хороо 5",Талбай
"УБ — Сүхбаатар, Сүхбаатар, Хороо 6",МУИС
"УБ — Сүхбаатар, Сүхбаатар, Хороо 7",11-р хороолол
"УБ — Сүхбаатар, Сүхбаатар, Хороо 8",11-р хороолол
"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",Дөлгөөн нуур
"УБ — Сүхбаатар, Сүхбаатарын талбай",Талбай
"УБ — Сүхбаатар, Сэлбэ",Сансар
"УБ — Сүхбаатар, Сэлх",Сэлх
"УБ — Сүхбаатар, Төв номын сан",Талбай
"УБ — Сүхбаатар, Фонтам",Цирк
"УБ — Сүхбаатар, Хүнсний 50-р дэлгүүр",Цирк
"УБ — Сүхбаатар, Хүүхдийн 100",Хүүхдийн 100
"УБ — Сүхбаатар, Цирк",Цирк
"УБ — Сүхбаатар, Шихихутуг их сургууль",Талбай
"УБ — Сүхбаатар, ШУТИС",Багшийн дээд
УБ — Хан-Уул,Хан-Уул
"УБ — Хан-Уул, 120 мянгат",120 мянгат
"УБ — Хан-Уул, 19-р хороолол",19-р хороолол
"УБ — Хан-Уул, Bella Vista",Зайсан
"УБ — Хан-Уул, Japan town",Хүннү
"УБ — Хан-Уул, King Tower",Маршал
"УБ — Хан-Уул, Marshall town",Маршал
"УБ — Хан-Уул, River Garden",Маршал
"УБ — Хан-Уул, River stone",Алтай хотхон
"УБ — Хан-Уул, Romana Residence",Корпорейт
"УБ — Хан-Уул, UB Town",Зайсан хойно
"УБ — Хан-Уул, Viva city",Яармаг
"УБ — Хан-Уул, Zaisan luxury village",Зайсан
"УБ — Хан-Уул, Арцатын ам",Яармаг
"УБ — Хан-Уул, Био комбинат",Био
"УБ — Хан-Уул, Богины ам",Зайсан
"УБ — Хан-Уул, Буянт Ухаа хороолол",Нисэх
"УБ — Хан-Уул, Жаргалантын ам",Яармаг
"УБ — Хан-Уул, Зайсан",Зайсан
"УБ — Хан-Уул, Мишээл",Мишээл
"УБ — Хан-Уул, Морин тойруулга, наадамчдын талбай",Яармаг
"УБ — Хан-Уул, Нархан хотхон",Корпорейт
"УБ — Хан-Уул, Нисэх",Нисэх
"УБ — Хан-Уул, Нүхтийн ам",Яармаг
"УБ — Хан-Уул, Нэхмэлийн шар",19-р хороолол
"УБ — Хан-Уул, Оддын хороолол",Корпорейт
"УБ — Хан-Уул, Стадион Оргил",Цэнгэлдэх
"УБ — Хан-Уул, Туулын хэсэг",Зайсан хойно
"УБ — Хан-Уул, Удирдлагын Академи",Зайсан хойно
"УБ — Хан-Уул, Үйлдвэрийн баруун бүс",Зайсан хойно
"УБ — Хан-Уул, Хансвилл хотхон",Корпорейт
"УБ — Хан-Уул, Хан-Уул, Хороо 1",Корпорейт
"УБ — Хан-Уул, Хан-Уул, Хороо 10",Нисэх
"УБ — Хан-Уул, Хан-Уул, Хороо 11",Зайсан
"УБ — Хан-Уул, Хан-Уул, Хороо 12",Бага тэнгэр
"УБ — Хан-Уул, Хан-Уул, Хороо 13",19-р хороолол
"УБ — Хан-Уул, Хан-Уул, Хороо 14",Яармаг
"УБ — Хан-Уул, Хан-Уул, Хороо 15",Зайсан хойно
"УБ — Хан-Уул, Хан-Уул, Хороо 16",Маршал
"УБ — Хан-Уул, Хан-Уул, Хороо 17",Зайсан хойно
"УБ — Хан-Уул, Хан-Уул, Хороо 18",Корпорейт
"УБ — Хан-Уул, Хан-Уул, Хороо 19",Зайсан
"УБ — Хан-Уул, Хан-Уул, Хороо 2",19-р хороолол
"УБ — Хан-Уул, Хан-Уул, Хороо 20",Зайсан хойно
"УБ — Хан-Уул, Хан-Уул, Хороо 21",Нисэх
"УБ — Хан-Уул, Хан-Уул, Хороо 22",Зайсан
"УБ — Хан-Уул, Хан-Уул, Хороо 23",Яармаг
"УБ — Хан-Уул, Хан-Уул, Хороо 24",Яармаг
"УБ — Хан-Уул, Хан-Уул, Хороо 25",Нисэх
"УБ — Хан-Уул, Хан-Уул, Хороо 3",Зайсан хойно
"УБ — Хан-Уул, Хан-Уул, Хороо 4",Яармаг
"УБ — Хан-Уул, Хан-Уул, Хороо 5",Цэцэрлэгт хүрээлэн
"УБ — Хан-Уул, Хан-Уул, Хороо 6",Яармаг
"УБ — Хан-Уул, Хан-Уул, Хороо 7",Маршал
"УБ — Хан-Уул, Хан-Уул, Хороо 8",Яармаг
"УБ — Хан-Уул, Хан-Уул, Хороо 9",Яармаг
"УБ — Хан-Уул, Хурд",Цэнгэлдэх
"УБ — Хан-Уул, Хүннү",Хүннү
"УБ — Хан-Уул, Хүүшийн ам",Яармаг
"УБ — Хан-Уул, Цэлмэг хотхон",19 урд
"УБ — Хан-Уул, Шувуун фабрик",Шувуун фабрик
"УБ — Хан-Уул, Яармаг",Яармаг
УБ — Чингэлтэй,Чингэлтэй
"УБ — Чингэлтэй, 23-р сургуулийн ойролцоо","40, 50 мянгат"
"УБ — Чингэлтэй, 32 тойрог",Хүүхдийн 100
"УБ — Чингэлтэй, 40 мянгат","40, 50 мянгат"
"УБ — Чингэлтэй, 40, 50 мянгат","40, 50 мянгат"
"УБ — Чингэлтэй, 50 мянгат","40, 50 мянгат"
"УБ — Чингэлтэй, 50-р сургуулийн ойролцоо","40, 50 мянгат"
"УБ — Чингэлтэй, 5-р сургуулийн ойролцоо",5-р сургууль
"УБ — Чингэлтэй, Баянбүрд",Баянбүрд
"УБ — Чингэлтэй, Баянбүрдийн тойрог",Баянбүрд
"УБ — Чингэлтэй, Бөмбөгөр",Бөмбөгөр
"УБ — Чингэлтэй, Дэнжийн 1000",Дэнжийн мянга
"УБ — Чингэлтэй, Жүр Үр",Цэцэг төв
"УБ — Чингэлтэй, Зурагт",Зурагт
"УБ — Чингэлтэй, Компьютер молл",Хүнсний 4
"УБ — Чингэлтэй, Тэнгис кино театр",Тэнгис
"УБ — Чингэлтэй, Урт цагаан",Бөмбөгөр
"УБ — Чингэлтэй, Хайлааст",Хайлааст
"УБ — Чингэлтэй, Хийморь хотхон",Зайсан
"УБ — Чингэлтэй, Хүнсний 1-р дэлгүүр",Тэнгис
"УБ — Чингэлтэй, Хүнсний 4-р дэлгүүр",Хүнсний 4
"УБ — Чингэлтэй, Хүчит шонхор зах",Хүчин шонхор
"УБ — Чингэлтэй, Цагаан байр",Хайлааст
"УБ — Чингэлтэй, Цэцэг төв",Цэцэг төв
"УБ — Чингэлтэй, Чингэлтэй",Чингэлтэй
"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Тэнгис
"УБ — Чингэлтэй, Чингэлтэй, Хороо 10",Дэнжийн мянга
"УБ — Чингэлтэй, Чингэлтэй, Хороо 11",Дэнжийн мянга
"УБ — Чингэлтэй, Чингэлтэй, Хороо 13",7 буудал
"УБ — Чингэлтэй, Чингэлтэй, Хороо 15",Дэнжийн мянга
"УБ — Чингэлтэй, Чингэлтэй, Хороо 16",Дэнжийн мянга
"УБ — Чингэлтэй, Чингэлтэй, Хороо 2","40, 50 мянгат"
"УБ — Чингэлтэй, Чингэлтэй, Хороо 20",Баянхошуу
"УБ — Чингэлтэй, Чингэлтэй, Хороо 3",Их дэлгүүр
"УБ — Чингэлтэй, Чингэлтэй, Хороо 4",5-р сургууль
"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",5-р сургууль
"УБ — Чингэлтэй, Чингэлтэй, Хороо 6",Тэнгис
"УБ — Чингэлтэй, Чингэлтэй, Хороо 8",Зурагт
"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Зурагт
"Увс, Увс",Увс
"Хөвсгөл, Хөвсгөл",Хөвсгөл
"Хэнтий, Хэнтий",Хэнтий
